,date,username,tweet,replies_count,retweets_count,likes_count,link,popularity
27879,2021-03-07,carnetdlapatria,El próximo lunes inicia proceso de inmunización de maestros y maestras del paísBandera de Venezuela🇻🇪con la vacuna china  https://t.co/C0FVFmNAdc  #CuidémonosMás  Carnet de la patria  https://t.co/TEfjjuT2d1,10,1284,495,https://twitter.com/CarnetDLaPatria/status/1368576609628872708,596.3333333333334
277381,2020-12-23,susiheidi,"Se vacunarían con la vacuna rusa?, yo no...vos?",868,117,801,https://twitter.com/susiheidi/status/1341794042812788737,595.3333333333334
183573,2021-02-02,malcomgomez,"De mala gana, les reconozco a los colegas trolls del otro lado que, hasta lo de Lancet, yo creía que la vacuna rusa era una garcha. Ahora, por la euforia con que recién hoy salieron a festejar y a hacer helicóptero con la chota, es obvio que Uds también.",40,307,1434,https://twitter.com/malcomgomez/status/1356684746466734081,593.6666666666666
150331,2021-02-22,pablojavkin,"Queridos vecinos y vecinas, quiero contarles por qué me vacuné.  El 12 de enero, cuando recibí la primera dosis, la vacuna rusa era al menos dudosa para más de la mitad de la población. Mucha gente recomendaba no aplicársela y no estaba autorizada para mayores de 65 años.",279,176,1320,https://twitter.com/pablojavkin/status/1363827254950821888,591.6666666666666
335493,2020-11-05,carolinalosada,Me encanta que ahora tantos trolis salgan a decir q nunca se pensó en hacer la vacuna rusa #COVID19 obligatoria....  Casi me convencieron de que había sido mí propia idea 😆 Posta no abrieron ni un diario?  https://t.co/TpEBixIjvU,126,346,1302,https://twitter.com/carolinalosada/status/1324413942538653702,591.3333333333334
71369,2020-12-22,lrsecreta,"La nueva cepa de covid-19 favorece a la vacuna china 🇨🇳 frente a las americanas 🇺🇸 y europeas 🇪🇺  El ECDC contradice al ministro de Sanidad 🇪🇸, Salvador Illa, que afirma que la vacuna de Pfizer BioNTech es efectiva contra esta mutación.  👉 Piénsalo ⛔️",153,407,1213,https://twitter.com/LRsecreta/status/1341331154255966210,591.0
180024,2021-02-02,sinlinea_mx,#ÚltimaHora ‼️COFEPRIS autoriza en México uso de emergencia para la vacuna Rusa Sputnik V  https://t.co/aHvSZKO0kd,23,368,1382,https://twitter.com/SinLinea_Mx/status/1356787871223586817,591.0
212095,2021-01-26,uldaricochilito,'Colombia no esta interesada en la vacuna Rusa': Embajador Ruso. Ahí están las consecuencias de un presidente que se dedicó a un canal de TV y no a buscar relaciones diplomáticas para la vacuna.,25,532,1215,https://twitter.com/UldaricoChilito/status/1354057246242721798,590.6666666666666
251454,2020-12-30,nicoolsze,"Acabo de ver el informe de ANMAT del corte de fase III de la vacuna de Gamaleya, la vacuna rusa. Detallo algunas cuestiones para que no te asustes con cómo los medios van a titular. Spoiler: dice que la vacuna es EXCELENTE.",30,421,1321,https://twitter.com/NicoOlsze/status/1344252063350452224,590.6666666666666
190241,2021-02-02,cirogomezl,"Buscamos desde el viernes una respuesta de la autoridad sobre la forma en que se analiza, evalúa y, en su caso, se aprobará la vacuna rusa #SputnikV contra el #Covid19. Como nadie quería responder, fuimos a buscar al doctor @HLGatell a su conferencia en Palacio Nacional. 1/2",62,358,1347,https://twitter.com/CiroGomezL/status/1356454391944011779,589.0
416215,2020-08-15,soyunargento,"Tenes miedo que te inyecten una vacuna rusa pero bien que todos los fines de semana tomabas fernet con manaos en una botella cortada con desconocidos en una previa y después ibas a los boliches y te comías varios bagres, así que no te asustes que si no te mató eso no te mata nada",6,289,1471,https://twitter.com/soyunargento/status/1294474230785081344,588.6666666666666
353517,2020-11-02,eze_castellvis,Los pibes después de la vacuna rusa  https://t.co/irzRZCWtH8,13,201,1551,https://twitter.com/eze_castellvis/status/1323386208903331841,588.3333333333334
434970,2020-08-12,ddavidvillamar,"Se tragan todas las mentiras de la prensa y no quieren tomar la vacuna rusa... en fin, la hipocresinski.🙄",28,443,1294,https://twitter.com/DDavidVillamar/status/1293541641341620225,588.3333333333334
188257,2021-02-02,sinlinea_mx,"Hugo López-Gatell dijo que es falso que la #VacunaCOVID19 SputnikV no sea segura para los adultos mayores. ""La vacuna rusa #Sputniv es segura, tienen 92% de eficacia contra la enfermedad #Covid y se puede usar de manera segura en adultos mayores""",17,528,1216,https://twitter.com/SinLinea_Mx/status/1356606939975794694,587.0
130420,2021-03-17,rodolfoperez_2,Propuestas para combatir la pandemia de López Aliaga:  1) No usar mascarilla 🤦🏻‍♂️ 2) Ivermectina para todos 😨 3) La vacuna peruana 🤯 4) Que Ciccia traiga la vacuna rusa 🤡  Este 11 de abril votemos por nuestra salud. Aquí las propuestas del @partidomorado   https://t.co/xzblwqEf1r,66,351,1342,https://twitter.com/RodolfoPerez_2/status/1372328571218374663,586.3333333333334
356649,2020-11-02,eldestapeweb,Coronavirus: Alberto Fernández confirmó que Argentina comprará 25 millones de dosis de la vacuna rusa  https://t.co/jcqJ7MuT6p,46,291,1416,https://twitter.com/eldestapeweb/status/1323357286035841024,584.3333333333334
343639,2020-11-03,bendernautaokk,¿La vacuna rusa es para curar el covid o la homosexualidad?,28,98,1625,https://twitter.com/Bendernautaokk/status/1323656496635432961,583.6666666666666
379104,2020-10-02,cancilleriave,"“Es un momento histórico para nuestra Patria, Venezuela se convierte en el primer país de América en recibir la vacuna rusa contra el #COVID19”, acotó la vicepresidenta ejecutiva, Delcy Rodríguez   #SputnikVLlegaAVenezuela  https://t.co/Nq0hVdjcVV",109,938,702,https://twitter.com/CancilleriaVE/status/1312082589910544386,583.0
368304,2020-10-07,presidencia_ve,Diputado Trujillo alerta riesgos de vacuna rusa: “Los experimentos en seres humanos están prohibidos”  https://t.co/cqD3gac4s2,78,785,886,https://twitter.com/Presidencia_VE/status/1313824246699823104,583.0
