,date,username,tweet,replies_count,retweets_count,likes_count,link,popularity
444613,2020-08-11,villegaspoljak,"Hoy #11Ago recibí en La Casona Cultural Aquiles Nazoa amable visita del embajador #Rusia, Serguey Melik-Bargdasarov. Coincidimos en avanzar en intercambio cultural. Lo felicité por registro de vacuna rusa “Sputnik V” contra #covid19. Si nos vamos a contagiar que sea de #cultura.  https://t.co/phSPu2ZnLP",5,278,205,https://twitter.com/VillegasPoljak/status/1293273297338142721,162.66666666666666
428823,2020-08-12,saul4914,@alferdez Instrucciones para la vacuna rusa: 1- Put in.,10,30,448,https://twitter.com/Saul4914/status/1293665443366998022,162.66666666666666
421554,2020-08-13,alexflo76,"Lo curioso es que en Guatemala sudamos la calentura de que si la vacuna rusa, la china, la gringa, la india y al final, si tenemos suerte, vamos a ser los penúltimos en recibir cualquiera de ellas.",22,56,410,https://twitter.com/alexflo76/status/1293972421574369281,162.66666666666666
442263,2020-08-11,nanutria,La vacuna Rusa también te muestra como te verías del sexo opuesto.,8,46,432,https://twitter.com/nanutria/status/1293311625420779524,162.0
421973,2020-08-13,felipemube,Le creo a una mujer ahora no voy a creer en la vacuna rusa.,5,82,398,https://twitter.com/FelipeMuBe/status/1293954772161224706,161.66666666666666
438364,2020-08-12,manuel_osorio7,No creen en la vacuna rusa pero vaya y dígales que la cura es un pelo que sale en la biblia y que lo tienen que poner a hervir jmmm,0,64,420,https://twitter.com/manuel_osorio7/status/1293387943437111298,161.33333333333334
437458,2020-08-12,danifrancopz,La vacuna rusa me hará homofóbica no grax,2,17,464,https://twitter.com/danifrancopz/status/1293415505810853888,161.0
412785,2020-08-17,actualidadrt,"Maduro anuncia que será el primer venezolano en ponerse la vacuna rusa Sputnik V contra el coronavirus ""para dar ejemplo""  https://t.co/9BYbFzrc3O",28,138,315,https://twitter.com/ActualidadRT/status/1295318547514654726,160.33333333333334
447917,2020-08-11,cuervoji,¡LA VACUNA RUSA ES EL ULTIMO PASO DE LO PACTADO EN LA HABANA PARA TERMINAR DE INOCULAR EL COMUNISMO A LA HUMANIDAD Y ASEGURAR LA IMPUNIDA DE LA FAR!,23,80,377,https://twitter.com/cuervoji/status/1293228603598135296,160.0
441540,2020-08-11,mrdoctoroficial,La vacuna rusa contra el #COVID19 es más falsa que lo de Belinda y Nodal.,13,29,437,https://twitter.com/MrDoctorOficial/status/1293324764728221701,159.66666666666666
452961,2020-08-11,reaijhonathan,Mi cara cuando  \    Cuando me preguntan me preguntan si   \      si me colocaría la  me colocaría           \   Vacuna de Oxford o la Vacuna Rusa  o     \   de EEUU  China para COVID-19   \  https://t.co/RtuM1ET5IL,20,96,363,https://twitter.com/ReaIJhonathan/status/1293159380725178368,159.66666666666666
444162,2020-08-11,mteijeiro,"Señores escuálido,as, no vayan a empezar con la soberbia de decir que no se van a poner la vacuna rusa contra el Covid19. Recuerden que hicieron lo mismo con el Calp y los Bonos y ahora los reclaman como derechos.",26,207,243,https://twitter.com/mteijeiro/status/1293280999808393219,158.66666666666666
435530,2020-08-12,dariomonero,La vacuna rusa. @cartonclublatin #Putin #vacuna #PutinVaccine  https://t.co/RMlWdH6CjY,6,120,349,https://twitter.com/Dariomonero/status/1293527594441175040,158.33333333333334
424584,2020-08-13,eljueves,"""Que tu familia desaparezca sospechosamente"", principal efecto secundario de la vacuna rusa contra el COVID   https://t.co/7B81SFQXmB",4,88,383,https://twitter.com/eljueves/status/1293811348871282688,158.33333333333334
448566,2020-08-11,copaniprod,Todo lo que quieras con lo de la vacuna rusa... Pero Viviana Canosa qué opina... Autoriza o no ?,26,94,352,https://twitter.com/copaniprod/status/1293219949083844608,157.33333333333334
416717,2020-08-14,davidxcuba,"Hoy atacan desde occidente la vacuna rusa contra el coronavirus, #SputnikV 💉 por ""supuestas dudas"" 😳 pero... hablan de la ""esperanza"" que representa una supuesta vacuna de #EEUU 🤓  En cuestiones de credibilidad... ¿en quien confiarías? 🤔",23,239,210,https://twitter.com/DavidXCuba/status/1294411971299880961,157.33333333333334
453223,2020-08-11,bellealouette,La vacuna Rusa se llama Sputnik.... SPUTNIK!  https://t.co/Tvzq1s3Crg,1,53,417,https://twitter.com/Bellealouette/status/1293153229409329155,157.0
451299,2020-08-11,dirty_haz,un poco no quiero la vacuna rusa porque ya me acostumbré a no salir de mi casa  https://t.co/xNbAQQcNpD,0,24,445,https://twitter.com/dirty_haz/status/1293184714065317888,156.33333333333334
435472,2020-08-12,ana_cosmica,"Buenos días a todos, menos a los que no se pondrían la vacuna rusa por miedo a volverse comunistas. 💉",24,41,404,https://twitter.com/ana_cosmica/status/1293528973201281026,156.33333333333334
454521,2020-08-10,forbes_mexico,Con inmunidad y sin efectos secundarios: todos los voluntarios que se aplicaron la potencial vacuna rusa contra el coronavirus mostraron resultados positivos (y sus autoridades prevén que la vacunación masiva podría iniciar en octubre). #DeLaSemana    https://t.co/vtqDOh7Lml,3,139,326,https://twitter.com/Forbes_Mexico/status/1292672017641037824,156.0
428121,2020-08-12,soyladycorrales,AH PERROOOO TE PUSIERON LA VACUNA RUSA @lopezobrador_   😂😂😂😂  https://t.co/lw6WS8lnfr,10,33,422,https://twitter.com/SoyLadyCorrales/status/1293680795513749505,155.0
439253,2020-08-11,lucasfauno,💉🦠Si la vacuna rusa funciona la usaremos para salir de esta pandemia.  ⁉️¿Y saben para qué más?  📣🏳️‍🌈PARA SEGUIR DENUNCIANDO A PAÍSES COMO RUSIA Y POLONIA QUE VAN CONTRA LAS VIDAS Y LOS DERECHOS LGBT+,2,52,411,https://twitter.com/LucasFauno/status/1293368934712909827,155.0
437138,2020-08-12,ratita_bebe,"Gente diciendo que no se pondrían la vacuna rusa contra el Covid 19, pero bien que se toman pinche Oso Negro en las fiestas de su colonia. 🤣",22,31,408,https://twitter.com/Ratita_Bebe/status/1293440026416685057,153.66666666666666
435592,2020-08-12,alzicarelli,"#BuenMiercoles Lo de la supuesta existencia y efectividad de una ""Vacuna Rusa"" contra el COVID19 es tan comprobable y veraz como la heterosexualidad de Pablo Duggan, Diego Lagomarsino y de quien escribe este Tweet. FAKE.",19,36,401,https://twitter.com/alzicarelli/status/1293526342584217602,152.0
426069,2020-08-12,rppnoticias,"Vacuna rusa: Gobernador de Arequipa asegura que ya pidió a Vladimir Putin que le ""regale"" o ""venda"" el medicamento.  https://t.co/uFlOUC6cqN  https://t.co/MYeyLAv44Q",217,41,197,https://twitter.com/RPPNoticias/status/1293727688197320704,151.66666666666666
433719,2020-08-12,killerf___,No creen en la vacuna rusa pero si creyeron cuando les dijeron que iba a venir Quentin Tarantino al santo cachon xd,8,46,401,https://twitter.com/killerf___/status/1293570766789844992,151.66666666666666
410879,2020-08-17,ilannarx,"No creen en la vacuna rusa, pero sí creen en Herbalife. 🤡🤡🤡",7,59,388,https://twitter.com/ilannarx/status/1295501572810645505,151.33333333333334
417155,2020-08-14,rinconet,Leo que el cacerolazo es contra la impunidad y la venganza. Me preocupa que no haya mención a la vacuna rusa: entre mis vecinos de Recoleta es una fuente generosa de indignación.,21,77,350,https://twitter.com/rinconet/status/1294369295405850624,149.33333333333334
446781,2020-08-11,gilbertoesc_,"El hecho de rechazar la vacuna Rusa es claramente algo relacionado a la Geopolítica, no a la Salud 🤷🏻‍♂️  ¿O de verdad creen que todas las donaciones de EEUU son un acto de mera buena voluntad?",6,34,406,https://twitter.com/GilbertoEsc_/status/1293242573100920833,148.66666666666666
438521,2020-08-12,yosoylaassange,"Cuba está autorizada a producir la vacuna rusa con sus recursos médicos y tecnológicos, dentro del país. La próxima vez que me manden a Cuba, les hago caso 🙄",5,108,333,https://twitter.com/YoSoyLaAssange/status/1293384759629012993,148.66666666666666
439045,2020-08-11,guisodemondongo,"Dijo Ginés que no se ilusionen con la vacuna rusa porque es muy difícil que llegue, Rusia está muy lejos.",9,47,389,https://twitter.com/guisodemondongo/status/1293373345304584195,148.33333333333334
450233,2020-08-11,mistermopilas,"—Presidente, ¿la vacuna rusa? —Malo para la ciencia ficción",5,87,349,https://twitter.com/Mistermopilas/status/1293198983100153856,147.0
91670,2020-08-13,goyojimenez,"Por otra parte, me preocupa que la vacuna de Moderna se vuelva rancia al cabo de un tiempo, y que la vacuna china sea muy diferente de las fotos que la anuncian",4,30,404,https://twitter.com/Goyojimenez/status/1293802211550560258,146.0
443450,2020-08-11,ernesbustamante,"El pensamiento mágico domina atávicamente al hombre. Entre HCQ, ivermectina, dióxido de cloro y ahora la vacuna rusa ya nada me sorprende. Hay poco interés de ciertos individuos y gobiernos por la ciencia y sus métodos. Al final, la verdad científica prevalece, pero cuesta vidas.",23,99,315,https://twitter.com/ErnesBustamante/status/1293292054433456128,145.66666666666666
431055,2020-08-12,anabellagaleano,"Ya me puse la vacuna Rusa del COVID y no tengo ningún efectoski secundarioski  а выборы состоятся в 2021 году, и их победит командующий Даниэль Ортега. 😐😐😐😐😐",34,23,380,https://twitter.com/AnabellaGaleano/status/1293618997234143243,145.66666666666666
432909,2020-08-12,feriglesias,"Yo no te renuncio al respirador ni loco, pero a la vacuna rusa, sí. Dónde hay que anotarse, @alferdez ???  https://t.co/NjPauycMC2",22,82,332,https://twitter.com/FerIglesias/status/1293586705644216329,145.33333333333334
