,date,username,tweet,replies_count,retweets_count,likes_count,link
353518,2020-11-02,tunykollmann,La vacuna rusa inició el proceso de autorización en la ANMAT  Obvio que tendrá que presentar documentación sobre la fase III que todavía no se terminó. Se supone que en 2 semanas,68,444,2117,https://twitter.com/tunykollmann/status/1323386199302676483
342523,2020-11-03,c5n,"Un argentino voluntario de la vacuna rusa aseguró que ""genera inmunidad y es segura""   https://t.co/mLSlYkakRY  https://t.co/lUf64utCNr",672,311,2023,https://twitter.com/C5N/status/1323687517321891840
336727,2020-11-05,01_zupay,La vacuna Rusa se produciría en los laboratorios HLB Pharma dónde uno de los socios es Ariel García Furfano que tiene causas abiertas por contrabando de suero y estuvo dos años preso. Fundó el Sindicato de Presos y actualmente sería abogado de Vatayón Militante. Buen descanso 😎,109,1236,1963,https://twitter.com/01_Zupay/status/1324210773602828288
345111,2020-11-03,nachomdeo,"Beto guardó las muestras gratis de la vacuna rusa en el mismo cajón donde puso las remeras de La Pedro Cahn, la calcomanía de ""Vicentin - YPF"" y el pañuelo verde.",41,466,1947,https://twitter.com/nachomdeo/status/1323622668030169088
336361,2020-11-05,robdnavarro,Israel compró la vacuna rusa,120,701,1938,https://twitter.com/robdnavarro/status/1324327892382339076
347893,2020-11-03,bendernautaokk,"Ponete la vacuna rusa, no seas Putin",8,123,1935,https://twitter.com/Bendernautaokk/status/1323472030277210114
351261,2020-11-02,gabitwo_,te dije que no pasaba nada con la vacuna rusa mono jaja veni vamos a tomar unas birras con los pibes  https://t.co/xvMn2xkcCp,1,165,1806,https://twitter.com/gabitwo_/status/1323412276452511744
339614,2020-11-04,dianacrisis,🤔 Será que: a) Está en drogas b) Está poseído c) Es un viajero del tiempo d) Se puso la vacuna rusa e) Es ingeniero atómico físico nuclear en Chernobyl   https://t.co/ARbR0NvZ7i,90,354,1767,https://twitter.com/dianacrisis/status/1323862180832272384
332982,2020-11-06,jotaalonso,"Si sos médico y decís que la entonces Presidenta padecía de una enfermerdad como el cáncer -Nelson Castro dijo eso- y luego pasa el tiempo y afirmás que la vacuna rusa se probó en 74 personas, cuando está en fase 3, con 40 mil personas en prueba científica, deberías jubilarte.",92,479,1735,https://twitter.com/jotaalonso/status/1324840035540238338
346273,2020-11-03,eldiariodeleuco,"""La vacuna rusa no es confiable y rompe las reglas del desarrollo de medicamentos. No es porque sea rusa, sino por motivos científicos bien fundamentados"", alertó la científica del Conicet.  https://t.co/UiJb7nSg6E",61,800,1718,https://twitter.com/EldiariodeLeuco/status/1323597311440769024
350557,2020-11-02,misodios,La vacuna rusa la aplica Lagomarsino a domicilio.,24,321,1711,https://twitter.com/MisOdios/status/1323421791746957313
340583,2020-11-03,danteforesi,"Así como odian al peronismo pero cobran el aguinaldo, las vacaciones pagas y tienen sus servicios públicos con subsidio del Estado, se van a terminar arrastrando por la vacuna rusa. Sólo hay que darles tiempo.",48,391,1703,https://twitter.com/DanteForesi/status/1323769663143223296
349567,2020-11-02,a24com,"🗳️ Encuesta #BastaBaby. Desde las 23, mirá a Baby Etchecopar en @A24COM. La pregunta de hoy: ¿Usted se aplicaría la vacuna rusa?",765,1205,1694,https://twitter.com/A24COM/status/1323436979816718336
343639,2020-11-03,bendernautaokk,¿La vacuna rusa es para curar el covid o la homosexualidad?,28,98,1625,https://twitter.com/Bendernautaokk/status/1323656496635432961
338152,2020-11-04,eldestapeweb,La vacuna rusa es la que genera más confianza entre los argentinos  https://t.co/2ZBVprveAC,120,253,1615,https://twitter.com/eldestapeweb/status/1324051439090651138
357913,2020-11-01,nachomdeo,⚡️ “Una vacuna rusa y obligatoria que todavía no está aprobada... Argentina podría convertirse un enorme laboratorio de pruebas”   https://t.co/6nsnpc2NUh,242,969,1569,https://twitter.com/nachomdeo/status/1322932407071375360
353517,2020-11-02,eze_castellvis,Los pibes después de la vacuna rusa  https://t.co/irzRZCWtH8,13,201,1551,https://twitter.com/eze_castellvis/status/1323386208903331841
349990,2020-11-02,pulsionparcial,"Doman: Vos le darías la vacuna rusa a tu viejo? Grabia: Sí, a mi viejo sí. Yo no me la daría.  Nace una versión masculina de Nancy Pazos.",25,307,1548,https://twitter.com/pulsionparcial/status/1323430310940446720
338293,2020-11-04,edufeiok,Sandra Pitta: “La vacuna rusa no es confiable y rompe las reglas del desarrollo de medicamentos”  https://t.co/WkyBxOZAEh,145,463,1548,https://twitter.com/edufeiok/status/1324037447160860672
353136,2020-11-02,lanacion,"Marta Cohen, patóloga argentina: ""La vacuna rusa todavía no tiene el aval científico necesario""  https://t.co/HoWVwA5gI3  https://t.co/VPkK5gpZJH",148,688,1540,https://twitter.com/LANACION/status/1323390818313334784
354791,2020-11-02,nbg__,"Igual que hizo con las vacunas que están testeando AstraZeneca, Pfizer y China, el Gobierno acordó comprar 10 millones de dosis de la vacuna rusa en caso de que finalmente sea certificada por autoridades sanitarias. Hoy a las 20, todos los detalles con @gsued en @_IPNoticias.",24,246,1540,https://twitter.com/nbg__/status/1323373016798121984
81218,2020-11-01,mlauraassis,"🇧🇷BRASIL: Hoy hubo una manifestación contra el gobernador de San Pablo, João Doria, quien intenta imponer la obligatoriedad de la vacuna China.  En cambio, el presidente Bolsonaro ya expresó que ninguna vacuna será obligatoria y que los brasileños no serán las cobayas de China.",27,283,1424,https://twitter.com/MLauraAssis/status/1323006327162130432
356649,2020-11-02,eldestapeweb,Coronavirus: Alberto Fernández confirmó que Argentina comprará 25 millones de dosis de la vacuna rusa  https://t.co/jcqJ7MuT6p,46,291,1416,https://twitter.com/eldestapeweb/status/1323357286035841024
335643,2020-11-05,hanalfabeto,Un éxito las primeras pruebas de la vacuna rusa. Todos los voluntarios que se le aplicaron manifestaron sus intenciones de votar a Del Caño. 😂,28,221,1385,https://twitter.com/hanalfabeto/status/1324395068611022851
343611,2020-11-03,bendernautaokk,La vacuna rusa:  https://t.co/LjbuKVkk51,6,124,1382,https://twitter.com/Bendernautaokk/status/1323657199256743937
355811,2020-11-02,johnsopranojr,"@porquetendencia Sí hermano, me pusieron la vacuna rusa. ¿Cómo supiste?  https://t.co/gRVjSdVdNQ",3,59,1374,https://twitter.com/JohnSopranoJr/status/1323364045966217225
